"","SYMBOL","FC","DESeq2.STAT","PVAL","ADJ.PVAL"
"27243","CHMP2A",0.337243439033298,4.39676270393862,1.09877354955753e-05,0.137061012571806
"6515","SLC2A3",-0.529982830738799,-4.39668509663818,1.09916631205214e-05,0.137110005765384
"54934","KANSL2",0.219286902840667,4.39607811281444,1.10224282147087e-05,0.137493769550277
"84138","SLC7A6OS",-0.28170000504681,-4.39503875503779,1.10752992714131e-05,0.138153283111607
"8034","SLC25A16",-0.377041363301813,-4.39442665678593,1.1106549267342e-05,0.138543095560825
"84498","FAM120B",-0.230168065374293,-4.39351894038482,1.11530467453031e-05,0.13912310510091
"80007","C10orf88",0.18420464999877,4.39270426147178,1.1194936602551e-05,0.139645639180221
"23515","MORC3",-0.232392376187611,-4.39237116284676,1.12121073782574e-05,0.139859827436383
"90410","IFT20",0.239588783074224,4.39219755765995,1.12210664505101e-05,0.139971582903663
"79692","ZNF322",0.23751299439466,4.39097578299481,1.12843109428694e-05,0.140760494701353
"10205","MPZL2",-0.50134706132773,-4.39034130380736,1.13172885083271e-05,0.141171856852872
"8241","RBM10",0.219419291672969,4.38984658721549,1.13430656146044e-05,0.141493400476576
"90557","CCDC74A",0.694111399815632,4.38949471881729,1.13614337434826e-05,0.141722524516202
"27252","KLHL20",-0.237396701943905,-4.385795682453,1.15562558272423e-05,0.14415273518902
"5909","RAP1GAP",0.724828773128615,4.38519556529061,1.15881621173761e-05,0.144550734252149
"8672","EIF4G3",0.234505945247345,4.38497636307361,1.15998373435433e-05,0.144696371023359
"54762","GRAMD1C",-0.598223667233608,-4.38191420089969,1.17641138972856e-05,0.146745556754741
"54998","AURKAIP1",0.438615679848825,4.37771378650738,1.19930700352149e-05,0.149601555619271
"6483","ST3GAL2",-0.3208438183543,-4.37724744579359,1.20187500314185e-05,0.149921887891914
"93210","PGAP3",0.472192133262566,4.37534887694776,1.21238413314307e-05,0.151232796768266
"9910","RABGAP1L",0.282112696047112,4.37368895815609,1.22164406782607e-05,0.152387881020624
"641371","ACOT1",-0.499238773095016,-4.37355839848647,1.22237525716963e-05,0.152479089579339
