,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
100,100130733,LRRC70,-1.77830601127435,-10.3790865352795,3.08714821201475e-25,3.75952909259156e-21
101,115677,NOSTRIN,-1.65130348811219,-10.3607318906279,3.7408851719325304e-25,4.55564996237943e-21
102,5126,PCSK2,-6.9283698816557,-10.3136360012259,6.114332297995191e-25,7.44603387249854e-21
103,7516,XRCC2,2.6560876821084,10.3039254738675,6.76433725085698e-25,8.237609904093631e-21
104,287,ANK2,-3.82499353662685,-10.2872717341487,8.042282174567661e-25,9.793891232188491e-21
105,4222,MEOX1,-3.17674354631645,-10.2479373828661,1.20895800696572e-24,1.47226906088286e-20
106,4147,MATN2,-3.35921350753546,-10.2457009451747,1.23724792098148e-24,1.5067205181712502e-20
107,10252,SPRY1,-2.12170041527841,-10.2408882622892,1.30036956390411e-24,1.58359005492243e-20
108,7538,ZFP36,-2.80997102308328,-10.2010083353801,1.96224574867673e-24,2.3896228727385302e-20
109,1301,COL11A1,5.52528500517,10.1748757088003,2.56727531343142e-24,3.12642787669678e-20
110,64388,GREM2,-4.44391293326045,-10.1640668446942,2.86855617359751e-24,3.49332770820705e-20
111,9542,NRG2,-3.89739312339812,-10.1548430949364,3.15316969729495e-24,3.83993005736579e-20
112,285195,SLC9A9,-2.69778249175223,-10.1495755606896,3.32807664915493e-24,4.05293174334087e-20
113,9510,ADAMTS1,-3.23242559342713,-10.128221171893,4.14114202474969e-24,5.04308275774017e-20
114,6586,SLIT3,-3.2721652233299,-10.1265208772889,4.21376219504882e-24,5.13151960113045e-20
115,165140,OXER1,-2.66419266159599,-10.1210076363226,4.45802157579803e-24,5.42897867500684e-20
116,10659,CELF2,-2.81303105337811,-10.0816110075982,6.66246684987473e-24,8.11355212977744e-20
117,6517,SLC2A4,-4.78267944412225,-10.0763757700277,7.02703886458404e-24,8.557527929290451e-20
118,5241,PGR,-3.28333111927223,-10.0750196637353,7.12465413240786e-24,8.6764038024463e-20
119,358,AQP1,-2.95259477610038,-10.046366286422,9.53175051856545e-24,1.1607765781509e-19
120,1346,COX7A1,-3.06511690367093,-10.0194562971712,1.2518972215697601e-23,1.5245604364276502e-19
121,51705,EMCN,-2.48682509646033,-10.008206624783,1.40272188163087e-23,1.70823470745007e-19
122,221091,LRRN4CL,-3.18008207165692,-10.0025923400699,1.48458927099509e-23,1.80793281421783e-19
123,140628,GATA5,-5.04818618421079,-9.99939305255791,1.53333944136228e-23,1.86730077169098e-19
124,6663,SOX10,-4.38096263151375,-9.98551376103624,1.76384948324238e-23,2.14801590069257e-19
125,395,ARHGAP6,-3.65981206348057,-9.98154814204426,1.83579774447395e-23,2.2356344932203703e-19
126,11155,LDB3,-3.27801108866502,-9.96194484705574,2.23644244659529e-23,2.72353961146374e-19
127,660,BMX,-2.80174708754741,-9.94178239585899,2.7388205847618803e-23,3.33533570812301e-19
128,5138,PDE2A,-3.08892755495768,-9.93228305832181,3.01277058816111e-23,3.6689520222626e-19
129,11259,FILIP1L,-2.60136433867688,-9.90553392111942,3.93860625379742e-23,4.796434695874499e-19
130,1960,EGR3,-3.33023284034816,-9.87582728179181,5.29938521167921e-23,6.45359131078294e-19
131,388121,TNFAIP8L3,-2.95058893137845,-9.85912982876298,6.258945052146331e-23,7.622143284503799e-19
132,10742,RAI2,-3.06597404888787,-9.84911155563895,6.91525363457223e-23,8.4213958761820605e-19
133,6493,SIM2,2.16109802460778,9.83487612402851,7.96655888288922e-23,9.70167540758249e-19
134,145270,PRIMA1,-4.57393268968333,-9.82385411693862,8.887903659206181e-23,1.08236890761813e-18
135,84733,CBX2,3.65500517579287,9.82047153713747,9.1912601573808e-23,1.11931166196583e-18
136,5199,CFP,-2.82868927505713,-9.82044094388142,9.194050068446421e-23,1.1196514173354e-18
137,3316,HSPB2,-2.76759137469197,-9.78312599427962,1.3303686053567e-22,1.6201228876033899e-18
138,26577,PCOLCE2,-4.87852903554875,-9.78166246052375,1.34975021434965e-22,1.64372581103501e-18
139,5745,PTH1R,-3.0521102862672,-9.77284238440021,1.47261510816941e-22,1.7933506787287e-18
140,387496,RASL11A,-3.03499610564144,-9.74664419391914,1.90666972231399e-22,2.32194238783398e-18
141,1910,EDNRB,-2.71295752835217,-9.74598624571234,1.9190626150611399e-22,2.3370344526214598e-18
142,64499,TPSB2,-3.14229275788906,-9.73839546484262,2.06793646197862e-22,2.5183330233975698e-18
143,219654,ZCCHC24,-2.48907895740157,-9.7232555106673,2.39983529685489e-22,2.92251942450989e-18
144,79915,ATAD5,2.03023874418622,9.71160050870897,2.6907823531950197e-22,3.2768347497209e-18
145,9068,ANGPTL1,-4.10388674599428,-9.7096444756143,2.74292167831421e-22,3.3403300198510497e-18
