"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005272","GO:0005272","6/784","38/11936",0.0359153935969764,0.254442858863087,0.222041795847875,"SCN7A/GRIK3/CACNA1H/SCN4B/SCN1B/GRIK5",6
"GO:0000295","GO:0000295","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"SLC25A25/SLC25A23/SLC19A1",3
"GO:0005024","GO:0005024","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"TGFBR2/TGFBR3/LTBP4",3
"GO:0015269","GO:0015269","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"KCNMB1/KCNN3/KCNMA1",3
"GO:0033549","GO:0033549","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"DUSP1/DUSP8/DUSP5",3
"GO:0140333","GO:0140333","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"ABCB1/ABCB4/ATP8B2",3
"GO:1902282","GO:1902282","3/784","12/11936",0.0397471363286597,0.259168944854194,0.226166056302603,"KCNH2/KCND3/KCNE4",3
"GO:0046982","GO:0046982","19/784","188/11936",0.0401892200767934,0.259168944854194,0.226166056302603,"NR4A1/ATP1A2/AOC3/NR4A2/AGTR1/AURKA/ATP1B2/MEF2C/BDKRB2/TOP2A/ATF3/TPM2/BCL2/RCC1/TPM1/PAFAH1B3/ADRA2A/IRAK3/CEACAM6",19
"GO:0004252","GO:0004252","12/784","105/11936",0.0422758023798193,0.269173779709482,0.234896863322913,"F10/CTSG/PCSK2/TPSB2/TPSAB1/MASP1/TPSD1/C1R/PCSK7/HGF/C1S/F12",12
"GO:0048156","GO:0048156","6/784","40/11936",0.0447497902475123,0.273795860318355,0.238930362567237,"CLU/BIN1/BAG2/MAP1A/S100B/SNCA",6
"GO:0004622","GO:0004622","4/784","21/11936",0.0451790385813588,0.273795860318355,0.238930362567237,"MGLL/PLA2G4C/PNPLA7/ENPP2",4
"GO:0042805","GO:0042805","4/784","21/11936",0.0451790385813588,0.273795860318355,0.238930362567237,"SYNPO2/PDLIM4/CSRP1/CACNA1C",4
"GO:0043027","GO:0043027","4/784","21/11936",0.0451790385813588,0.273795860318355,0.238930362567237,"GAS6/BIRC5/BIRC3/SNCA",4
"GO:0005262","GO:0005262","10/784","84/11936",0.0479468993067677,0.287110599420288,0.250549586603034,"SLC24A3/ANXA6/TRPM2/CACNB2/TRPC1/CACNB4/NCS1/RYR2/CACNA2D1/CACNA1C",10
"GO:0005095","GO:0005095","3/784","13/11936",0.0492155601494873,0.287853799478978,0.251198146662622,"SLIT2/CPEB2/RHOH",3
"GO:0031994","GO:0031994","3/784","13/11936",0.0492155601494873,0.287853799478978,0.251198146662622,"IGFBP6/ITGB3/IGFBP5",3
"GO:0005248","GO:0005248","4/784","22/11936",0.0524516727558425,0.296440352766166,0.258691277814149,"SCN7A/CACNA1H/SCN4B/SCN1B",4
"GO:0008138","GO:0008138","4/784","22/11936",0.0524516727558425,0.296440352766166,0.258691277814149,"DUSP1/DUSP8/CDKN3/DUSP5",4
"GO:0035925","GO:0035925","4/784","22/11936",0.0524516727558425,0.296440352766166,0.258691277814149,"RBM24/ZFP36/RBMS3/CPEB2",4
"GO:0015079","GO:0015079","5/784","32/11936",0.0556353062455787,0.310434061911159,0.270903011022189,"AQP1/SLC12A8/KCNK3/ABCC9/KCNG1",5
